label,name,density,lat,long,comments,reference,accuracy
1,Kung,0.25,-23,23,,"Hitchcock 1987",1
2,Hadza,0.4,-3.6,35,,"Woodburn 1968: 103, 105",1
3,Mbuti,0.45,1.8,29.5,,"Turnbull 1965: 159, 160, Fig. 3 Analogy with the Ngansan, Chard 1963: 105 and map",1
4,Yukaghir,0.01,70,162,,"Black 1973: 2. 3",1
5,Gilyak,0.5,52,142,"broad distribution","Radcliffe-Brown 1922: 15, 17, 18",1
6,Andaman,2.25,12.5,92.8,,"Evans 1937: 1, 2, 15, map 1",1
7,Semang,0.4,4,102.5,,"Yengoyan 1968: 190",1
8,Aranda,0.08,-24,132.5,,"Yengoyan 1968: 190",1
9,Walbiri,0.03,-22.3,131.8,"synonym Arrernte","Yengoyan 1968: 189",1
10,"IO Dieri",0.05,-30,135,"synomym Warlpiri","Warner 1937: 16",1
11,Murngin,0.13,-13,132.4,"synonym Yolngu","McConnel 1930: 97, 131",1
12,Wikmunkun,0.5,-10.7,142.5,,"Hiatt 1965: 17",1
13,Gidjingali,2,-12.1,134.7,,"Yengoyan 1968: 190",1
14,Wongaibon,0.5,-32,146.5,,"Jones 1978: 20; area from atlas",1
15,Tasmanians,0.15,-42,147,,"Kroeber 1939: 135",1
16,Aleut,1.79,54.8,-164,,"HNAI 1984: 338, 340",1
17,Nunamiut,0.05,68,-151.7,,"Oswalt 1967:",1
18,Tareumiut,0.1,69,-151.7,,"HNAI 1984: 209, 213; Birket-Smith 1953: 3, 12, 22",1
19,Chugash,0.46,55.5,47,,"Kroeber 1939: 135",1
20,Nunivak,0.86,60.1,-166.4,,"Kroeber 1939: 134",1
21,"Copper Eskimo",0.03,68.8,-95.4,,"Kroeber 1939: 134",1
22,"Caribou Eskimo",0.01,63,-96,"broad distribution","HNAI 1984: 623, 638",1
23,Angmaksalik,0.2,65.6,-37.6,"synonym Tasiilaq (Ammassalik)","Kroeber 1939: 134",1
24,Iglulik,0.01,69.4,-81.4,,"HNAI 1984: 578, 580",1
25,"Polar Eskimo",0.01,77.5,-69.3,,"Kroeber 1939: 134",1
26,"Labrador Eskimo",0.05,53.3,-66.6,"broad distribution","Grant 1890: 308",1
27,Saulteaux,0.02,46.5,-84.4,"displaced, coordinates correspong to original location, unsure about density in new or old place","Kroeber 1939: 140",1
28,Micmac,0.06,45.5,-69,"broad distribution","Kroeber 1939: 141",1
29,"Attaw Cree",0.04,52.9,-82.5,"Attawapiskat Cree","HNAI 1981: 169, 170, 172, 173",1
30,Naskapi,0.01,59,-67.5,,"Kroeber 1939: 140",1
31,Ojibwa,0.08,46.2,-89.5,,"Kroeber 1939: 141",1
32,Kaska,0.03,60.1,-128.8,,"Kroeber 1939: 138",1
33,Chilcotin,0.33,51.2,-124.1,,"Kroeber 1939: 141",1
